city_name,month,median_contract_rent_per_sqm,weighted_median_contract_rent_per_sqm,pct_income_region_bedrooms_category
São Bernardo do Campo,2022-02-01,20.46848862729652,20.14460166265122,0.420171207
São Bernardo do Campo,2022-03-01,20.89660350105296,20.45227710328959,0.420171207
São Bernardo do Campo,2022-04-01,20.558572990590534,20.11751438526552,0.420171207
São Bernardo do Campo,2022-05-01,21.333259572486174,20.60562652470406,0.420171207
São Bernardo do Campo,2022-06-01,21.312177610024435,20.593719089537856,0.420171207
São Bernardo do Campo,2022-07-01,22.399862607017575,21.20274459533053,0.420171207
São Bernardo do Campo,2022-08-01,22.850837841956064,21.50439884026058,0.420171207
São Bernardo do Campo,2022-09-01,23.404073412752048,22.12943483488276,0.420171207
São Bernardo do Campo,2022-10-01,23.694676680265815,22.54329898237704,0.420171207
São Bernardo do Campo,2022-11-01,22.6629531643467,21.77083993251358,0.420171207
São Bernardo do Campo,2022-12-01,22.70893094749743,21.929830142082537,0.420171207
São Paulo,2019-06-01,36.53855662679841,38.42390386678664,0.6936001632
São Paulo,2019-07-01,36.39338800214246,38.252418716440786,0.6936001632
São Paulo,2019-08-01,36.58266565439076,38.34767960455513,0.6936001632
São Paulo,2019-09-01,37.01332775211128,38.622517303067035,0.6936001632
São Paulo,2019-10-01,37.052710534433054,38.4808921082853,0.6936001632
São Paulo,2019-11-01,36.32730670263274,37.751943792497514,0.6936001632
São Paulo,2019-12-01,36.031302801194904,37.46710120655447,0.6936001632
São Paulo,2020-01-01,36.16896438699193,37.79969887435187,0.6936001632
São Paulo,2020-02-01,36.753325210439954,38.56380228737557,0.6936001632
São Paulo,2020-03-01,37.10266419429426,39.05072177583815,0.6936001632
São Paulo,2020-04-01,37.060270804857204,39.01634629446155,0.6936001632
São Paulo,2020-05-01,36.43733113805332,38.00084685958038,0.6936001632
São Paulo,2020-06-01,35.83959687533885,37.20998407604533,0.6936001632
São Paulo,2020-07-01,35.23233963648316,36.468502844015575,0.6936001632
São Paulo,2020-08-01,34.69523275407674,36.17466729574562,0.6936001632
São Paulo,2020-09-01,34.16635637167526,35.618157396996146,0.6936001632
São Paulo,2020-10-01,34.08323802922689,35.45741282494741,0.6936001632
São Paulo,2020-11-01,34.185282122429165,35.4204187197465,0.6936001632
São Paulo,2020-12-01,34.16341588307035,35.433720342881536,0.6936001632
São Paulo,2021-01-01,34.46517391391868,35.80594783880299,0.6936001632
São Paulo,2021-02-01,34.747245089670535,36.16184723475303,0.6936001632
São Paulo,2021-03-01,35.171007349080114,36.646407958078555,0.6936001632
São Paulo,2021-04-01,34.67038181486458,35.96394060065043,0.6936001632
São Paulo,2021-05-01,34.18180778311788,35.3467054294759,0.6936001632
São Paulo,2021-06-01,33.90006874173961,34.899366805949434,0.6936001632
São Paulo,2021-07-01,33.93411251751732,34.95389125322213,0.6936001632
São Paulo,2021-08-01,33.95798463198888,34.956165505311844,0.6936001632
São Paulo,2021-09-01,34.080510472521794,35.08257703268056,0.6936001632
São Paulo,2021-10-01,34.33345452680658,35.429082936109594,0.6936001632
São Paulo,2021-11-01,34.83603335513243,35.97689362072739,0.6936001632
São Paulo,2021-12-01,35.445384271265425,36.54900740354239,0.6936001632
São Paulo,2022-01-01,36.34103256533699,37.48118019562801,0.6936001632
São Paulo,2022-02-01,37.147615668217426,38.35996169305214,0.6936001632
São Paulo,2022-03-01,37.606816225298395,39.00675676184019,0.6936001632
São Paulo,2022-04-01,38.14328271366752,39.51006564241857,0.6936001632
São Paulo,2022-05-01,38.2488386963363,39.74849252654137,0.6936001632
São Paulo,2022-06-01,38.50141908569911,40.10078160985919,0.6936001632
São Paulo,2022-07-01,38.52720758634924,40.21505101187178,0.6936001632
São Paulo,2022-08-01,38.916246158874934,40.576328663349486,0.6936001632
São Paulo,2022-09-01,39.33115039114318,41.01454389551991,0.6936001632
São Paulo,2022-10-01,40.02735205575079,41.69777368248404,0.6936001632
São Paulo,2022-11-01,40.36597447261302,41.92520428081817,0.6936001632
São Paulo,2022-12-01,40.871526968669706,42.22037580886667,0.6936001632
